Year,Month,Pullet Placements,Unit,Date,YoY_Growth,YoY_Growth_LTM
2013,JAN,6303000,HEAD,2013-01-01,,
2013,FEB,7156000,HEAD,2013-02-01,,
2013,MAR,6589000,HEAD,2013-03-01,,
2013,APR,6222000,HEAD,2013-04-01,,
2013,MAY,7565000,HEAD,2013-05-01,,
2013,JUN,7011000,HEAD,2013-06-01,,
2013,JUL,6569000,HEAD,2013-07-01,,
2013,AUG,7131000,HEAD,2013-08-01,,
2013,SEP,6911000,HEAD,2013-09-01,,
2013,OCT,6231000,HEAD,2013-10-01,,
2013,NOV,7215000,HEAD,2013-11-01,,
2013,DEC,6669000,HEAD,2013-12-01,,
2014,JAN,6470000,HEAD,2014-01-01,2.6495319689036956,
2014,FEB,7239000,HEAD,2014-02-01,1.159865846841801,
2014,MAR,6790000,HEAD,2014-03-01,3.050538776749123,
2014,APR,6710000,HEAD,2014-04-01,7.843137254901955,
2014,MAY,7600000,HEAD,2014-05-01,0.46265697290150953,
2014,JUN,7094000,HEAD,2014-06-01,1.1838539438026041,
2014,JUL,6212000,HEAD,2014-07-01,-5.4346171411173705,
2014,AUG,7436000,HEAD,2014-08-01,4.277099985976718,
2014,SEP,7253000,HEAD,2014-09-01,4.948632614672266,
2014,OCT,6823000,HEAD,2014-10-01,9.500882683357403,
2014,NOV,7591000,HEAD,2014-11-01,5.211365211365204,
2014,DEC,6795000,HEAD,2014-12-01,1.8893387314439902,3.061857237483242
2015,JAN,6944000,HEAD,2015-01-01,7.326120556414217,3.451572953109119
2015,FEB,7892000,HEAD,2015-02-01,9.02058295344661,4.1066327119928525
2015,MAR,7160000,HEAD,2015-03-01,5.449189985272462,4.306520312703131
2015,APR,6995000,HEAD,2015-04-01,4.247391952309987,4.006874870820467
2015,MAY,7541000,HEAD,2015-05-01,-0.7763157894736805,3.903627140622534
2015,JUN,7790000,HEAD,2015-06-01,9.811107978573453,4.622564976853439
2015,JUL,7428000,HEAD,2015-07-01,19.575016097875086,6.7067010801028095
2015,AUG,7907000,HEAD,2015-08-01,6.334050564819793,6.878113628339732
2015,SEP,8573000,HEAD,2015-09-01,18.19936577967738,7.9823413920901585
2015,OCT,6863000,HEAD,2015-10-01,0.5862523816503096,7.239455533614567
2015,NOV,7230000,HEAD,2015-11-01,-4.755631669081806,6.408872460243984
2015,DEC,7544000,HEAD,2015-12-01,11.022810890360567,7.1699951401536985
2016,JAN,6726000,HEAD,2016-01-01,-3.1394009216589858,6.297868350314264
2016,FEB,8098000,HEAD,2016-02-01,2.6102382159148396,5.763672955519951
2016,MAR,8143000,HEAD,2016-03-01,13.729050279329602,6.453661313358045
2016,APR,7615000,HEAD,2016-04-01,8.86347390993567,6.838334809826853
2016,MAY,8083000,HEAD,2016-05-01,7.187375679618091,7.5019757655845
2016,JUN,8500000,HEAD,2016-06-01,9.114249037227218,7.443904187138981
2016,JUL,7730000,HEAD,2016-07-01,4.065697361335485,6.151460959094013
2016,AUG,7690000,HEAD,2016-08-01,-2.7444036929303195,5.394923104281504
2016,SEP,7609000,HEAD,2016-09-01,-11.244605155721455,2.9412588596649347
2016,OCT,6909000,HEAD,2016-10-01,0.670260818883861,2.948259562767731
2016,NOV,7710000,HEAD,2016-11-01,6.639004149377592,3.8978125476393473
2016,DEC,7535000,HEAD,2016-12-01,-0.11930010604453978,2.9693032979389216
2017,JAN,7163000,HEAD,2017-01-01,6.497175141242928,3.7723513031807485
2017,FEB,7832000,HEAD,2017-02-01,-3.284761669548042,3.2811013127255078
2017,MAR,8262000,HEAD,2017-03-01,1.4613778705636848,2.2587952786616814
2017,APR,7045000,HEAD,2017-04-01,-7.485226526592248,0.896403575617688
2017,MAY,8159000,HEAD,2017-05-01,0.940244958554981,0.37580934886242884
2017,JUN,8257000,HEAD,2017-06-01,-2.858823529411769,-0.6219466983574867
2017,JUL,7084000,HEAD,2017-07-01,-8.357050452781367,-1.6571756828672246
2017,AUG,8155000,HEAD,2017-08-01,6.046814044213256,-0.9245742047719266
2017,SEP,8240000,HEAD,2017-09-01,8.292811144697065,0.7035438202629501
2017,OCT,7589000,HEAD,2017-10-01,9.842234766246927,1.4678749825432054
2017,NOV,7943000,HEAD,2017-11-01,3.0220492866407156,1.1664620773151326
2017,DEC,7595000,HEAD,2017-12-01,0.796284007962833,1.2427607534824137
2018,JAN,7133000,HEAD,2018-01-01,-0.4188189306156609,0.6664279141608646
2018,FEB,7579000,HEAD,2018-02-01,-3.2303370786516905,0.6709632967355605
2018,MAR,8088000,HEAD,2018-03-01,-2.1060275962236696,0.3736795078366142
2018,APR,7688000,HEAD,2018-04-01,9.127040454222858,1.7580350895712062
2018,MAY,8282000,HEAD,2018-05-01,1.5075376884422065,1.805309483728475
2018,JUN,8319000,HEAD,2018-06-01,0.7508780428727047,2.106117948085515
2018,JUL,7473000,HEAD,2018-07-01,5.491247882552219,3.260142809363313
2018,AUG,8343000,HEAD,2018-08-01,2.3053341508277203,2.948352818247852
2018,SEP,8277000,HEAD,2018-09-01,0.4490291262135848,2.2947043167075623
2018,OCT,7269000,HEAD,2018-10-01,-4.21662933192779,1.1231323085263358
2018,NOV,7901000,HEAD,2018-11-01,-0.528767468211,0.8272309122886927
2018,DEC,8595000,HEAD,2018-12-01,13.1665569453588,1.8580869904050232
2019,JAN,7478000,HEAD,2019-01-01,4.836674610963132,2.2960447855365893
2019,FEB,7882000,HEAD,2019-02-01,3.997888903549285,2.898396950720004
2019,MAR,8222000,HEAD,2019-03-01,1.6567754698318504,3.2119638728912974
2019,APR,7339000,HEAD,2019-04-01,-4.539542143600417,2.0730819897393578
2019,MAY,8767000,HEAD,2019-05-01,5.856073412219276,2.43545996672078
2019,JUN,8717000,HEAD,2019-06-01,4.784228873662699,2.7715725359532795
2019,JUL,8510000,HEAD,2019-07-01,13.87662250769437,3.4703537547151253
2019,AUG,8094000,HEAD,2019-08-01,-2.984537935994247,3.0295310808132947
2019,SEP,8615000,HEAD,2019-09-01,4.083605170955651,3.3324124178751333
