DATE,CN_CHICKEN_IMPORT_VOLUME
2009-01-31,46316.0
2009-02-28,66965.0
2009-03-31,54864.0
2009-04-30,50686.0
2009-05-31,54312.0
2009-06-30,65289.0
2009-07-31,67799.0
2009-08-31,66833.0
2009-09-30,58141.0
2009-10-31,56529.0
2009-11-30,55718.0
2009-12-31,78780.0
2010-01-31,54442.0
2010-02-28,39005.0
2010-03-31,30285.0
2010-04-30,38330.0
2010-05-31,51771.0
2010-06-30,63858.0
2010-07-31,47134.0
2010-08-31,24991.0
2010-09-30,47137.0
2010-10-31,38470.0
2010-11-30,28154.0
2010-12-31,51959.0
2011-01-31,47283.0
2011-02-28,31066.0
2011-03-31,48213.0
2011-04-30,25042.0
2011-05-31,25333.0
2011-06-30,24018.0
2011-07-31,26423.0
2011-08-31,29519.0
2011-09-30,34027.0
2011-10-31,27962.0
2011-11-30,32181.0
2011-12-31,34433.0
2012-01-31,16784.0
2012-02-29,31443.0
2012-03-31,31030.0
2012-04-30,27202.0
2012-05-31,34864.0
2012-06-30,30974.0
2012-07-31,38787.0
2012-08-31,46969.0
2012-09-30,59541.0
2012-10-31,43204.0
2012-11-30,60228.0
2012-12-31,52130.0
2013-01-31,57329.0
2013-02-28,33508.0
2013-03-31,60827.0
2013-04-30,50626.0
2013-05-31,47758.0
2013-06-30,36200.0
2013-07-31,42727.0
2013-08-31,46784.0
2013-09-30,42255.0
2013-10-31,39865.0
2013-11-30,38773.0
2013-12-31,43504.0
2014-01-31,35674.0
2014-02-28,27114.0
2014-03-31,34483.0
2014-04-30,33158.0
2014-05-31,41148.0
2014-06-30,35393.0
2014-07-31,36293.0
2014-08-31,37043.0
2014-09-30,40064.0
2014-10-31,38026.0
2014-11-30,38514.0
2014-12-31,43321.0
2015-01-31,42097.0
2015-02-28,30459.0
2015-03-31,32371.0
2015-04-30,30908.0
2015-05-31,27754.0
2015-06-30,35167.0
2015-07-31,35557.0
2015-08-31,34480.0
2015-09-30,35732.0
2015-10-31,26535.0
2015-11-30,21589.0
2015-12-31,41626.0
2016-01-31,36419.0
2016-02-29,26266.0
2016-03-31,36526.0
2016-04-30,49088.0
2016-05-31,44704.0
2016-06-30,63455.0
2016-07-31,55900.0
2016-08-31,64296.0
2016-09-30,53724.0
2016-10-31,49850.0
2016-11-30,44969.0
2016-12-31,43962.0
2017-01-31,28262.0
2017-02-28,38606.0
2017-03-31,35151.0
2017-04-30,38031.0
2017-05-31,34720.0
2017-06-30,30819.0
2017-07-31,39549.0
2017-08-31,44707.0
2017-09-30,39789.0
2017-10-31,35436.0
2017-11-30,43265.0
2017-12-31,42049.0
2018-01-31,29748.0
2018-02-28,30426.0
2018-03-31,46514.0
2018-04-30,40886.0
2018-05-31,50267.0
2018-06-30,34632.0
2018-07-31,49035.0
2018-08-31,44444.0
2018-09-30,45823.0
2018-10-31,40807.0
2018-11-30,45568.0
2018-12-31,44097.0
2019-01-31,54116.0
2019-02-28,28379.0
2019-03-31,64400.0
2019-04-30,66226.0
2019-05-31,63430.0
2019-06-30,71921.0
2019-07-31,68221.0
2019-08-31,67074.0
2019-09-30,64884.0
2019-10-31,66921.0
2019-11-30,77895.0
2019-12-31,86107.0
2020-01-31,81287.0
2020-02-29,78598.0
2020-09-30,132099.0
2020-10-31,125323.0
2020-11-30,135991.0
2020-12-31,155256.0
2021-01-31,134611.0
2021-02-28,96475.0
2021-03-31,134780.0
2021-04-30,122215.0
2021-05-31,101006.0
2021-06-30,86555.0
2021-07-31,147902.0
2021-08-31,132649.0
2021-09-30,114339.0
2021-10-31,121083.0
2021-11-30,140400.0
2021-12-31,130788.0
2022-01-31,118318.0
2022-02-28,97482.0
2022-03-31,108847.0
2022-04-30,118447.0
2022-05-31,106327.0
2022-06-30,116683.0
2022-07-31,116610.0
2022-08-31,111757.0
2022-09-30,109872.0
2022-10-31,95121.0
2022-11-30,90734.0
2022-12-31,108042.0
2023-01-31,95122.0
2023-02-28,109580.0
2023-03-31,128934.0
2023-04-30,118274.0
2023-05-31,114640.0
2023-06-30,137987.0
2023-07-31,115832.0
2023-08-31,105111.0
2023-09-30,94432.0
2023-10-31,97216.0
2023-11-30,84622.0
2023-12-31,84253.0
2024-01-31,72924.0
2024-02-29,53349.0
2024-03-31,76731.0
2024-04-30,69679.0
2024-05-31,87318.0
2024-06-30,77063.0
2024-07-31,89790.0
2024-08-31,91640.0
2024-09-30,66424.0
2024-10-31,66675.0
2024-11-30,88651.0
2024-12-31,86636.0
2025-01-31,71273.0
2025-02-28,74690.0
