DATE,BR_SOY_OIL_PRICE
2019-04-15,2780.0
2019-04-22,2850.0
2019-04-29,2640.0
2019-05-06,2640.0
2019-05-13,2640.0
2019-05-20,2640.0
2019-05-27,2620.0
2019-06-03,2690.0
2019-06-10,2690.0
2019-06-17,2700.0
2019-06-24,2700.0
2019-07-01,2750.0
2019-07-08,2750.0
2019-07-15,2750.0
2019-07-22,2750.0
2019-07-29,2750.0
2019-08-05,2900.0
2019-08-19,3310.0
2019-08-26,3200.0
2019-09-02,3380.0
2019-09-09,3350.0
2019-09-16,3450.0
2019-09-23,3270.0
2019-09-30,3350.0
2019-10-07,3400.0
2019-10-14,3400.0
2019-10-21,3400.0
2019-10-28,3350.0
2019-11-04,3450.0
2019-11-11,3450.0
2019-11-18,3700.0
2019-11-25,3750.0
2019-12-02,3800.0
2019-12-09,3750.0
2019-12-16,3800.0
2020-01-06,3850.0
2020-01-13,3800.0
2020-01-20,3700.0
2020-01-27,3670.0
2020-02-03,3650.0
2020-02-10,3500.0
2020-02-17,3550.0
2020-02-26,3450.0
2020-03-02,3450.0
2020-03-09,3400.0
2020-03-16,3430.0
2020-03-30,3500.0
2020-04-06,3470.0
2020-04-13,3450.0
2020-04-20,3600.0
2020-04-27,3600.0
2020-05-04,3600.0
2020-05-11,3600.0
2020-05-18,3700.0
2020-05-25,3700.0
2020-06-01,5020.0
2020-06-08,3850.0
2020-06-15,3850.0
2020-06-22,3900.0
2020-06-29,4200.0
2020-07-06,4250.0
2020-07-13,4550.0
2020-07-20,4600.0
2020-07-27,4650.0
2020-08-03,4900.0
2020-08-10,5250.0
2020-08-17,5450.0
2020-08-24,5650.0
2020-08-31,5900.0
2020-09-08,6450.0
2020-09-14,6850.0
2020-09-21,6600.0
2020-09-28,6850.0
2020-10-05,7100.0
2020-10-13,7150.0
2020-10-19,7200.0
2020-10-26,7100.0
2020-11-03,7050.0
2020-11-09,6500.0
2020-11-16,6500.0
2020-11-23,6500.0
2020-11-30,6400.0
2020-12-07,6400.0
2020-12-14,6150.0
2020-12-21,6200.0
2021-01-04,6200.0
2021-01-11,6350.0
2021-01-18,6100.0
2021-01-25,6050.0
2021-02-01,6150.0
2021-02-08,6100.0
2021-02-15,6100.0
2021-02-22,6100.0
2021-03-01,6600.0
2021-03-08,7250.0
2021-03-22,7700.0
2021-03-29,7400.0
2021-04-05,7500.0
2021-04-12,7200.0
2021-04-19,7450.0
2021-04-26,7700.0
2021-05-03,7400.0
2021-05-10,7600.0
2021-05-17,7900.0
2021-05-24,7900.0
2021-05-31,7600.0
2021-06-07,7500.0
2021-06-14,7150.0
2021-06-21,6700.0
2021-06-28,6850.0
2021-07-05,6900.0
2021-07-12,7100.0
2021-07-19,7700.0
2021-07-26,7650.0
2021-08-02,7600.0
2021-08-09,7550.0
2021-08-16,7700.0
2021-08-23,8150.0
2021-08-30,7700.0
2021-09-06,7750.0
2021-09-13,7800.0
2021-09-20,7700.0
2021-09-27,8100.0
2021-10-04,8200.0
2021-10-11,8250.0
2021-10-18,8800.0
2021-10-25,8500.0
2021-11-01,8700.0
2021-11-08,8500.0
2021-11-16,8450.0
2021-11-22,8600.0
2021-11-29,8350.0
2021-12-06,8600.0
2021-12-13,8400.0
2021-12-20,8600.0
2022-01-02,7400.0
2022-01-03,8500.0
2022-01-10,8500.0
2022-01-17,8450.0
2022-01-31,8650.0
2022-02-07,8650.0
2022-02-14,8750.0
2022-02-21,8800.0
2022-02-28,10500.0
2022-03-07,10300.0
2022-03-14,9900.0
2022-03-21,9400.0
2022-03-28,8750.0
2022-04-04,8700.0
2022-04-11,9200.0
2022-04-18,9300.0
2022-04-25,10400.0
2022-05-02,10000.0
2022-05-09,10300.0
2022-05-16,10100.0
2022-05-23,9400.0
2022-05-30,9150.0
2022-06-06,9600.0
2022-06-13,9550.0
2022-06-20,9000.0
2022-06-27,8650.0
2022-07-04,7950.0
2022-07-11,8200.0
2022-07-18,8200.0
2022-07-25,7850.0
2022-08-01,7800.0
2022-08-08,7950.0
2022-08-15,7850.0
2022-08-22,7800.0
2022-08-29,7800.0
2022-09-05,7700.0
2022-09-12,7400.0
2022-09-19,7150.0
2022-09-26,6400.0
2022-10-10,7150.0
2022-10-17,7350.0
2022-10-24,7600.0
2022-10-31,7800.0
2022-11-07,8100.0
2022-11-14,7950.0
2022-11-21,8000.0
2022-11-28,8000.0
2022-12-05,6900.0
2022-12-12,7150.0
2022-12-19,7300.0
2023-01-09,7000.0
2023-01-16,6500.0
2023-01-23,6500.0
2023-01-30,6500.0
2023-02-06,6500.0
2023-02-13,6500.0
2023-02-22,6600.0
2023-02-27,6450.0
2023-03-06,6400.0
2023-03-13,6100.0
2023-03-20,6100.0
2023-03-27,5700.0
2023-04-03,5700.0
2023-04-10,5400.0
2023-04-17,5400.0
2023-04-24,5000.0
2023-05-02,5000.0
2023-05-08,5300.0
2023-05-15,4900.0
2023-05-22,4900.0
2023-05-29,4800.0
2023-06-05,5100.0
2023-06-12,5100.0
2023-06-19,5400.0
2023-06-26,5100.0
2023-07-03,5100.0
2023-07-10,5000.0
2023-07-17,4900.0
2023-07-24,5200.0
2023-07-31,5000.0
2023-08-07,5100.0
2023-08-14,5300.0
2023-08-21,5300.0
2023-08-28,5200.0
2023-09-04,5400.0
2023-09-11,5150.0
2023-09-18,5200.0
2023-09-25,5200.0
2023-10-02,5150.0
2023-10-16,5250.0
2023-10-23,5250.0
2023-10-30,5300.0
2023-11-06,5200.0
2023-11-13,5450.0
2023-11-20,5600.0
2023-11-27,5500.0
2023-12-04,5450.0
2023-12-11,5350.0
2023-12-18,5200.0
2024-01-08,5000.0
2024-01-15,5100.0
2024-01-29,4850.0
2024-02-05,4800.0
2024-02-14,4800.0
2024-02-19,4700.0
2024-02-26,4500.0
2024-03-04,4950.0
2024-03-11,5000.0
2024-03-18,5100.0
2024-03-25,5200.0
2024-04-01,5400.0
2024-04-08,5400.0
2024-04-15,5300.0
2024-04-22,5200.0
2024-04-29,5000.0
2024-05-13,5100.0
2024-05-20,5250.0
2024-05-27,5500.0
2024-06-03,5650.0
2024-06-10,5700.0
2024-06-17,5800.0
2024-06-24,5650.0
2024-07-08,6200.0
2024-07-15,6500.0
2024-07-27,5800.0
2024-08-26,6800.0
2024-09-30,6800.0
2024-11-04,7300.0
2024-12-16,7400.0
2025-03-05,6800.0
2025-03-10,6450.0
